" Table 3.5"
" Cancer of the Brain and Other Nervous System (Invasive)"

" Age-adjusted SEER Incidence(a) Rates by Year, Race and Sex"
"Year of Diagnosis","All Races,Both Sexes","All Races,Males","All Races,Females","Whites,Both Sexes","Whites,Males","Whites,Females","Blacks,Both Sexes","Blacks,Males","Blacks,Females"
"1975-2016","6.59","7.88","5.51","7.22","8.61","6.04","4.08","4.79","3.51"
"1975","5.85","6.84","5.01","6.21","7.31","5.28","4.14","4.31","3.88"
"1976","5.82","7.14","4.68","6.18","7.51","5.03","3.32","5.37","-"
"1977","6.17","7.76","4.89","6.60","8.26","5.27","3.55","5.17","2.47"
"1978","5.76","6.79","4.91","6.10","7.19","5.19","3.86","4.34","3.51"
"1979","6.12","7.42","5.01","6.60","8.03","5.37","3.69","4.19","3.23"
"1980","6.30","7.58","5.24","6.81","8.20","5.65","3.14","3.35","2.92"
"1981","6.51","8.07","5.20","6.90","8.44","5.63","5.02","7.24","3.16"
"1982","6.42","7.93","5.24","6.92","8.57","5.64","3.71","4.40","3.05"
"1983","6.31","7.60","5.19","6.88","8.20","5.74","2.75","3.79","1.84"
"1984","6.12","7.18","5.20","6.49","7.64","5.49","4.53","5.34","3.88"
"1985","6.94","8.50","5.66","7.43","9.07","6.07","4.88","5.62","4.18"
"1986","6.85","8.06","5.82","7.38","8.60","6.34","4.06","4.75","3.41"
"1987","7.01","8.16","6.05","7.60","8.73","6.68","4.25","5.63","3.13"
"1988","6.83","7.89","5.91","7.39","8.58","6.37","4.45","4.48","4.38"
"1989","6.87","8.52","5.46","7.44","9.25","5.91","4.90","5.93","4.12"
"1990","7.05","8.11","6.18","7.59","8.75","6.63","4.33","5.18","3.64"
"1991","6.96","8.57","5.65","7.62","9.29","6.24","3.62","4.43","3.09"
"1992","6.98","8.67","5.61","7.65","9.48","6.17","3.66","4.13","3.28"
"1993","6.76","8.06","5.67","7.38","8.87","6.15","3.93","3.97","3.80"
"1994","6.63","7.99","5.44","7.14","8.57","5.90","4.24","4.52","3.97"
"1995","6.50","7.97","5.30","7.04","8.60","5.76","4.11","5.15","3.31"
"1996","6.69","8.24","5.35","7.29","8.98","5.81","4.06","5.21","3.37"
"1997","6.77","8.11","5.63","7.43","8.88","6.18","4.03","5.30","3.12"
"1998","6.65","7.76","5.73","7.27","8.45","6.28","4.25","4.56","4.08"
"1999","6.93","8.37","5.70","7.69","9.22","6.37","3.75","5.05","2.70"
"2000","6.82","8.24","5.67","7.53","9.12","6.22","4.48","5.47","3.74"
"2001","6.65","7.99","5.55","7.32","8.68","6.17","4.10","5.20","3.38"
"2002","6.77","8.11","5.67","7.54","8.96","6.36","4.25","5.50","3.36"
"2003","6.67","7.65","5.85","7.27","8.37","6.33","4.67","4.49","4.65"
"2004","6.85","8.01","5.79","7.64","8.90","6.48","4.17","4.66","3.61"
"2005","6.76","7.82","5.85","7.49","8.71","6.42","4.54","4.97","4.16"
"2006","6.44","7.85","5.22","7.20","8.79","5.75","3.78","4.31","3.47"
"2007","6.61","7.78","5.58","7.33","8.77","6.04","4.60","4.87","4.36"
"2008","6.73","8.01","5.68","7.60","8.91","6.50","3.57","4.47","2.97"
"2009","6.85","8.01","5.83","7.59","8.97","6.35","4.67","4.30","4.86"
"2010","6.58","7.56","5.70","7.28","8.28","6.36","4.21","4.51","3.96"
"2011","6.67","7.87","5.61","7.48","8.68","6.39","4.43","4.90","4.05"
"2012","6.54","7.71","5.52","7.28","8.52","6.17","4.50","5.91","3.52"
"2013","6.53","7.54","5.63","7.24","8.26","6.32","4.06","5.00","3.26"
"2014","6.33","7.67","5.13","7.14","8.60","5.81","3.52","3.98","3.06"
"2015","6.59","7.90","5.46","7.44","8.87","6.15","3.63","3.98","3.37"
"2016","6.10","7.36","4.99","6.85","8.21","5.63","3.76","4.40","3.27"
