" Table 6.6"
" Cancer of the Colon and Rectum (Invasive)"

" Age-adjusted SEER Incidence(a) Rates by Year, Race and Sex"
"Year of Diagnosis","All Races,Both Sexes","All Races,Males","All Races,Females","Whites,Both Sexes","Whites,Males","Whites,Females","Blacks,Both Sexes","Blacks,Males","Blacks,Females"
"1975-2016","52.15","60.87","45.51","52.20","60.90","45.54","58.02","67.09","51.95"
"1975","59.54","68.45","53.66","60.20","69.78","54.06","56.85","59.33","54.66"
"1976","61.34","71.72","54.12","62.16","72.69","55.03","55.04","58.53","51.28"
"1977","62.39","73.46","54.95","63.19","74.30","55.76","60.76","75.81","51.47"
"1978","62.03","72.34","55.25","62.78","73.87","55.60","62.17","65.83","60.56"
"1979","62.37","74.11","54.57","62.95","75.19","54.95","58.57","61.79","56.16"
"1980","63.75","74.55","56.54","63.95","74.88","56.84","70.83","79.71","64.23"
"1981","64.24","75.80","56.49","64.86","76.65","57.14","62.83","72.89","55.97"
"1982","62.78","75.20","54.49","63.45","76.28","55.03","61.25","68.97","55.92"
"1983","63.66","75.55","55.61","64.24","76.51","56.02","66.79","75.80","61.13"
"1984","64.80","77.65","56.05","65.81","79.26","56.71","62.54","70.57","58.20"
"1985","66.30","79.19","57.31","67.19","80.20","58.36","64.13","74.56","56.39"
"1986","64.18","77.79","54.69","64.57","78.89","54.71","64.68","72.98","58.88"
"1987","62.74","77.53","52.68","62.92","78.25","52.64","66.28","77.63","59.01"
"1988","61.38","75.20","51.81","61.56","75.78","51.75","63.00","72.41","56.62"
"1989","61.70","74.99","52.42","61.95","75.45","52.65","64.52","79.41","54.76"
"1990","60.70","74.36","51.28","60.66","74.75","51.03","66.87","75.15","61.66"
"1991","59.48","72.91","50.04","59.28","73.09","49.64","65.71","76.42","58.27"
"1992","58.00","70.41","49.22","57.82","70.66","48.70","65.66","78.59","57.57"
"1993","56.79","68.44","48.30","56.32","68.08","47.79","64.44","78.14","55.15"
"1994","55.64","66.28","47.73","55.39","66.33","47.19","64.51","75.45","57.98"
"1995","54.06","63.85","46.93","53.71","63.41","46.63","62.04","71.49","55.98"
"1996","54.79","65.61","46.68","54.74","65.94","46.35","58.67","66.74","53.12"
"1997","56.40","68.07","47.94","56.34","67.84","48.00","64.73","77.77","56.26"
"1998","56.80","67.10","49.33","56.69","67.24","49.00","63.36","74.49","56.38"
"1999","55.48","65.77","47.83","55.32","65.90","47.22","63.52","72.47","58.30"
"2000","54.15","63.70","46.78","53.83","63.12","46.55","64.55","74.40","58.15"
"2001","53.62","63.09","46.23","53.04","62.71","45.38","64.69","75.53","57.69"
"2002","53.17","61.55","46.64","52.34","60.40","45.91","63.31","74.32","56.56"
"2003","50.82","59.52","43.94","50.25","58.59","43.48","62.77","75.87","54.68"
"2004","49.91","58.63","43.18","49.05","57.89","42.10","62.58","74.48","54.72"
"2005","47.82","55.24","41.92","47.40","55.09","41.15","58.71","65.41","55.05"
"2006","46.89","53.32","41.67","46.16","52.69","40.69","58.40","65.62","53.68"
"2007","46.41","53.34","40.72","45.52","52.20","39.97","57.93","66.04","52.16"
"2008","45.29","51.55","40.09","44.50","50.50","39.46","54.81","64.42","47.80"
"2009","43.33","49.01","38.68","42.06","47.50","37.47","53.72","60.87","49.25"
"2010","40.98","47.07","36.04","39.68","45.70","34.64","49.62","56.72","44.99"
"2011","39.66","45.42","34.94","38.56","43.69","34.24","48.06","55.68","42.76"
"2012","38.79","43.92","34.45","37.94","42.53","33.92","47.76","56.60","41.47"
"2013","37.52","43.26","32.69","36.35","41.07","32.34","46.73","58.27","38.57"
"2014","38.57","43.79","34.17","37.80","42.43","33.81","44.30","50.90","39.59"
"2015","37.15","41.80","33.06","36.42","40.83","32.45","44.80","52.77","38.73"
"2016","37.51","42.48","33.25","36.54","41.06","32.56","45.52","51.04","41.64"
