" Table 20.6"
" Cancer of the Oral Cavity and Pharynx (Invasive)"

" Age-adjusted SEER Incidence(a) Rates by Year, Race and Sex"
"Year of Diagnosis","All Races,Both Sexes","All Races,Males","All Races,Females","Whites,Both Sexes","Whites,Males","Whites,Females","Blacks,Both Sexes","Blacks,Males","Blacks,Females"
"1975-2016","11.83","17.78","6.91","11.96","17.94","6.97","12.18","19.61","6.45"
"1975","13.21","21.20","7.09","13.31","21.73","6.94","13.37","20.16","8.23"
"1976","13.29","21.01","7.39","13.24","21.05","7.38","15.18","23.76","8.37"
"1977","12.73","20.11","6.94","12.60","19.87","7.00","14.51","23.86","6.77"
"1978","13.38","20.86","7.71","13.20","20.74","7.57","15.90","25.97","8.18"
"1979","14.03","21.93","7.98","13.72","21.64","7.72","18.46","28.16","10.77"
"1980","13.34","20.25","7.91","12.98","19.96","7.62","16.82","25.39","9.59"
"1981","13.58","20.84","7.91","13.41","20.53","7.95","16.60","28.16","7.36"
"1982","13.34","20.32","7.93","13.08","19.94","7.85","17.06","27.39","8.75"
"1983","13.28","21.20","7.24","13.25","21.21","7.28","16.13","26.08","8.32"
"1984","13.47","20.79","7.86","13.00","20.16","7.64","18.91","29.99","10.07"
"1985","13.33","19.82","8.24","13.28","19.62","8.36","15.98","25.82","8.41"
"1986","12.47","19.14","7.20","12.36","18.86","7.30","16.18","28.09","6.97"
"1987","13.21","20.54","7.52","13.11","20.17","7.68","16.81","30.00","6.99"
"1988","12.14","18.15","7.32","11.79","17.69","7.11","16.54","25.67","9.19"
"1989","12.13","18.31","7.29","11.85","17.72","7.32","15.75","27.16","7.05"
"1990","12.67","19.42","7.35","12.40","18.84","7.39","16.05","27.89","6.92"
"1991","12.16","18.34","7.25","12.08","18.09","7.32","14.56","23.93","7.41"
"1992","11.97","18.34","6.92","11.82","18.05","6.93","14.85","25.21","6.94"
"1993","12.42","18.70","7.29","12.20","18.35","7.21","15.64","25.06","8.10"
"1994","11.72","17.69","6.84","11.41","16.87","6.92","15.74","26.82","7.07"
"1995","11.54","16.95","7.20","11.52","16.73","7.34","13.58","22.71","6.66"
"1996","11.78","17.77","6.98","11.47","17.27","6.85","15.12","24.44","7.81"
"1997","11.51","17.36","6.74","11.52","17.21","6.85","11.58","18.55","6.18"
"1998","11.24","16.68","6.77","11.24","16.37","6.95","13.20","22.61","6.42"
"1999","10.59","15.56","6.48","10.48","15.42","6.35","11.95","20.27","5.83"
"2000","10.76","16.08","6.31","10.67","15.66","6.41","11.75","20.76","4.93"
"2001","10.85","15.56","6.92","10.92","15.62","6.95","12.11","19.03","7.01"
"2002","11.13","16.34","6.74","11.31","16.58","6.80","11.15","16.95","6.55"
"2003","10.53","15.65","6.19","10.49","15.64","6.04","11.89","17.22","7.66"
"2004","10.85","16.15","6.29","11.09","16.52","6.31","10.26","16.18","5.89"
"2005","10.74","15.67","6.53","10.89","16.05","6.40","11.19","16.73","7.06"
"2006","10.80","15.87","6.43","11.05","16.10","6.61","10.14","16.70","5.24"
"2007","10.84","16.11","6.28","11.13","16.55","6.30","10.17","15.78","5.89"
"2008","11.03","16.39","6.42","11.47","16.93","6.65","8.86","14.00","4.96"
"2009","11.06","16.40","6.38","11.30","16.73","6.44","10.66","16.22","6.36"
"2010","10.96","16.31","6.24","11.41","16.88","6.44","8.75","13.22","5.22"
"2011","11.31","16.79","6.53","11.93","17.67","6.77","9.05","14.26","5.07"
"2012","11.20","16.34","6.69","11.74","17.09","6.89","8.55","14.15","4.23"
"2013","11.50","17.26","6.51","12.02","18.07","6.63","9.56","14.84","5.49"
"2014","11.46","17.50","6.14","12.00","18.23","6.33","9.25","15.25","4.68"
"2015","11.81","17.48","6.86","12.45","18.55","6.95","8.86","13.80","5.30"
"2016","11.76","17.36","6.82","12.33","18.21","6.94","8.40","12.90","5.01"
