" Table 15.6"
" Cancer of the Lung and Bronchus (Invasive)"

" Age-adjusted SEER Incidence(a) Rates by Year, Race and Sex"
"Year of Diagnosis","All Races,Both Sexes","All Races,Males","All Races,Females","Whites,Both Sexes","Whites,Males","Whites,Females","Blacks,Both Sexes","Blacks,Males","Blacks,Females"
"1975-2016","61.58","82.34","46.28","61.97","81.79","47.47","76.65","113.70","50.89"
"1975","52.24","89.53","24.52","51.94","89.15","24.84","64.46","114.71","24.66"
"1976","55.41","93.79","27.31","54.63","92.74","27.28","72.34","131.00","28.63"
"1977","56.69","95.48","28.33","55.87","94.73","28.07","73.58","124.86","33.88"
"1978","57.84","96.67","29.63","57.25","95.85","29.87","74.44","130.51","31.53"
"1979","58.62","95.81","31.58","58.03","95.19","31.64","74.54","127.72","34.11"
"1980","60.65","99.96","32.21","59.42","97.69","32.36","86.62","151.43","38.25"
"1981","62.03","99.41","35.11","61.53","98.44","35.52","82.31","142.96","37.45"
"1982","63.29","100.69","36.73","63.05","99.68","37.68","80.37","141.06","35.68"
"1983","63.45","99.46","37.88","63.03","97.63","39.09","86.62","151.34","39.49"
"1984","65.49","102.05","39.45","64.33","99.89","39.61","92.93","158.84","44.82"
"1985","64.61","98.59","40.25","63.97","96.84","40.87","89.56","149.68","46.04"
"1986","65.77","99.03","42.29","65.14","97.32","42.94","92.94","156.27","48.67"
"1987","67.90","101.51","44.16","68.08","100.66","45.49","84.76","143.59","43.28"
"1988","68.06","98.70","46.34","68.26","97.92","47.73","88.24","144.93","48.26"
"1989","67.56","97.96","46.12","67.57","97.06","47.26","89.04","142.77","51.37"
"1990","68.08","96.91","47.79","68.23","96.11","48.96","86.78","137.17","52.13"
"1991","69.19","97.20","49.58","68.96","95.88","50.63","93.13","144.76","57.03"
"1992","69.46","97.20","49.85","68.92","94.89","51.04","93.99","148.73","56.06"
"1993","67.75","93.95","49.15","67.80","92.51","50.63","86.36","135.35","52.54"
"1994","67.17","90.93","50.54","67.28","90.13","51.61","87.16","131.39","56.53"
"1995","66.85","89.82","50.43","67.09","87.95","52.43","85.87","138.94","50.12"
"1996","66.46","87.96","51.24","66.78","86.66","52.97","84.57","128.35","55.73"
"1997","66.62","86.31","52.59","67.19","84.80","54.93","82.27","129.54","50.49"
"1998","67.55","88.02","52.98","68.00","86.60","55.02","87.52","130.87","58.30"
"1999","65.83","84.57","52.50","66.28","83.25","54.42","84.56","122.46","58.85"
"2000","64.14","82.11","51.22","64.65","80.78","53.21","80.71","115.09","57.81"
"2001","64.15","81.41","51.65","65.04","81.07","53.48","80.63","114.51","57.82"
"2002","64.06","80.43","52.50","64.79","79.84","54.23","81.48","113.10","60.71"
"2003","64.76","81.05","53.09","65.51","79.56","55.65","81.20","119.56","55.73"
"2004","62.24","76.28","52.07","62.79","75.30","53.77","76.16","105.27","57.02"
"2005","63.03","75.82","53.85","64.01","75.53","55.80","74.69","97.97","59.49"
"2006","62.30","74.29","53.45","62.82","73.08","55.35","76.75","101.10","59.96"
"2007","62.09","73.75","53.58","63.12","72.86","56.05","74.13","100.68","56.55"
"2008","60.37","72.15","51.83","61.12","70.74","54.26","74.96","103.32","56.06"
"2009","59.98","70.66","52.26","60.66","69.71","54.11","74.22","98.01","58.55"
"2010","57.71","67.97","50.10","58.81","67.76","52.11","67.03","85.57","54.84"
"2011","56.22","65.62","49.32","57.23","65.28","51.34","65.67","86.18","52.36"
"2012","55.20","63.95","48.70","55.65","62.87","50.30","69.33","88.90","56.12"
"2013","54.02","61.64","48.38","54.73","60.71","50.33","63.40","81.36","51.40"
"2014","53.08","60.07","47.91","54.45","60.13","50.34","59.97","74.52","50.38"
"2015","51.58","58.50","46.38","52.50","57.83","48.51","59.54","75.41","49.15"
"2016","50.24","57.04","45.10","50.98","56.13","47.13","57.41","73.01","46.41"
