" Table 8.5"
" Cancer of the Esophagus (Invasive)"

" Age-adjusted SEER Incidence(a) Rates by Year, Race and Sex"
"Year of Diagnosis","All Races,Both Sexes","All Races,Males","All Races,Females","Whites,Both Sexes","Whites,Males","Whites,Females","Blacks,Both Sexes","Blacks,Males","Blacks,Females"
"1975-2016","4.52","7.66","2.05","4.35","7.41","1.93","7.47","12.38","3.83"
"1975","4.14","6.79","2.12","3.55","5.64","1.99","10.95","20.07","3.70"
"1976","4.30","6.88","2.34","3.72","5.94","2.09","10.74","16.89","5.61"
"1977","4.06","6.57","2.19","3.33","5.26","1.92","12.02","20.89","5.44"
"1978","4.12","6.95","1.91","3.41","5.66","1.69","13.05","24.41","4.33"
"1979","4.42","7.43","2.21","3.73","6.22","1.98","12.94","23.04","5.24"
"1980","4.27","6.87","2.28","3.54","5.75","1.86","12.32","18.79","7.41"
"1981","4.14","6.46","2.36","3.31","5.17","1.94","13.53","21.28","7.46"
"1982","4.26","6.81","2.28","3.46","5.46","1.96","13.61","22.72","6.41"
"1983","4.29","7.42","1.95","3.57","6.11","1.77","12.23","22.22","4.26"
"1984","4.18","6.66","2.24","3.52","5.60","1.92","12.00","19.85","5.98"
"1985","4.45","7.43","2.22","3.74","6.26","1.89","12.75","22.22","5.81"
"1986","4.64","7.49","2.47","3.90","6.23","2.19","14.07","24.02","6.31"
"1987","4.54","7.53","2.24","3.90","6.40","2.00","11.44","20.13","4.81"
"1988","4.43","7.32","2.21","3.87","6.31","2.02","11.18","19.49","4.99"
"1989","4.40","7.30","2.21","3.77","6.20","1.96","10.49","17.29","5.39"
"1990","4.82","8.25","2.19","4.19","7.24","1.90","12.49","21.33","5.83"
"1991","4.56","7.45","2.35","4.16","6.75","2.19","10.21","17.78","4.88"
"1992","4.60","8.01","2.00","4.21","7.38","1.80","10.74","18.35","5.32"
"1993","4.61","7.66","2.25","4.20","6.92","2.10","10.03","17.50","4.64"
"1994","4.50","7.70","2.06","4.16","7.16","1.87","9.20","14.68","5.13"
"1995","4.36","7.08","2.20","4.07","6.63","2.06","8.44","13.78","4.37"
"1996","4.80","8.12","2.20","4.40","7.48","1.98","9.69","16.36","4.81"
"1997","4.69","7.78","2.22","4.59","7.73","2.02","7.15","10.96","4.46"
"1998","4.73","8.18","2.04","4.52","7.92","1.87","7.86","12.65","4.32"
"1999","4.93","8.41","2.17","4.90","8.42","2.07","7.17","11.52","4.08"
"2000","4.78","7.99","2.17","4.72","8.02","2.02","7.04","10.58","4.44"
"2001","4.82","8.47","1.92","4.84","8.43","1.93","6.46","11.59","2.71"
"2002","4.63","7.95","1.99","4.62","8.09","1.83","6.37","10.04","3.65"
"2003","4.65","8.05","1.96","4.75","8.25","1.93","6.43","10.20","3.79"
"2004","5.31","9.00","2.37","5.44","9.28","2.34","6.06","8.90","3.98"
"2005","4.63","8.12","1.85","4.79","8.48","1.79","5.18","8.56","2.88"
"2006","4.74","7.96","2.10","4.90","8.26","2.08","5.42","8.78","2.95"
"2007","4.71","8.09","1.99","4.87","8.42","1.98","5.23","8.36","2.92"
"2008","4.67","8.18","1.79","4.87","8.57","1.79","4.69","7.90","2.25"
"2009","4.64","7.82","2.05","4.97","8.53","2.00","4.66","6.68","3.36"
"2010","4.41","7.66","1.73","4.56","7.94","1.69","4.70","7.51","2.78"
"2011","4.44","7.69","1.81","4.88","8.51","1.87","3.33","4.78","2.19"
"2012","4.39","7.55","1.75","4.79","8.23","1.86","3.62","6.22","1.69"
"2013","4.34","7.43","1.76","4.68","7.92","1.89","4.14","7.14","1.92"
"2014","4.24","7.24","1.75","4.53","7.73","1.78","3.94","6.17","2.40"
"2015","4.45","7.66","1.80","4.82","8.27","1.88","3.84","6.06","2.26"
"2016","4.27","7.37","1.68","4.51","7.83","1.65","3.94","6.25","2.23"
